label,n_dialogues,avg_D1,avg_D2,avg_D3,avg_D4,avg_D5,avg_D6,avg_D7,avg_D8,avg_D9,avg_D10,avg_D11,avg_overall,rank1_rate,avg_rank
deepdialogue,100,7.969697,6.989899,8.171717,7.282828,7.161616,7.868687,7.626263,7.414141,7.676768,6.979798,7.434343,7.506887,0.43,1.626263
ecot,100,6.757576,6.353535,6.79798,6.434343,6.111111,6.666667,6.636364,6.494949,6.444444,6.161616,6.434343,6.481175,0.0,2.989899
nec,100,7.565657,7.676768,7.838384,7.515152,7.777778,7.292929,7.757576,7.676768,7.888889,7.676768,7.747475,7.674013,0.54,1.646465
baseline,100,6.171717,5.878788,6.222222,6.060606,6.10101,6.121212,6.10101,6.070707,6.222222,5.949495,6.10101,6.090909,0.02,3.737374
